id,kpa_id,objective_id,ref,level,kpi_name,definition,unit,baseline,y1_2026_27,y2_2027_28,y3_2028_29,y4_2029_30,y5_2030_31,direction,calculation_method,means_of_verification,data_source,frequency,responsible_dept,source_page
kpa4-046,kpa4,so4_1,4.1.5,output,Percentage of Planned working tools and equipment Procured,4.1.5.7 Enhanced Availability of Working Tools and Equipment,percent,80%,82%,85%,90%,95%,98%,grow,Number of working tools & equipment procured/Plan x 100,HR Administration reports,HR Administration reports,Annually,HRMAD,81
kpa4-047,kpa4,so4_1,4.1.5,output,Percentage Reduction in Workplace Safety Incidents,4.1.5.8 Improved Workplace Safety and Security,percent,0%,15%,25%,35%,45%,55%,grow,Previous Period Incidents – Current Period Incidents) ÷ Previous Period Incidents x 100,HR Security reports,HR Security reports,Annually,HRMAD,81
kpa4-048,kpa4,so4_1,4.1.5,output,Percentage of Premises Compliant with Security Standards per annum,4.1.5.8 Improved Workplace Safety and Security,percent,50%,70%,75%,80%,85%,90%,grow,Number of premises compliant/Target x 100,HR Security reports,HR Security reports,Annually,HRMAD,81
kpa4-049,kpa4,so4_1,4.1.5,output,Percentage completion of Office and Staff Houses constructed/rehabilitated as per plan.,4.1.5.9 Improved Workplace Office and staff housing building,percent,50%,70%,75%,80%,85%,90%,grow,Number of buildings completed (constructed/rehabilitated) / Total numbers of buildings planned x 100,HR Estate Management report,HR Estate Management report,Annually,HRMAD,81
kpa4-050,kpa4,so4_1,4.1.5,output,Percentage of Planned Logistics Items Procured,4.1.5.10 Improved Availability of Operational Logistics and Facilities,percent,85%,88%,90%,93%,95%,97%,grow,Number of logistics items procured/Plan X 100,HR Administration reports,HR Administration reports,Annually,HRMAD,81
kpa4-051,kpa4,so4_1,4.1.5,output,Percentage of planned working facilities and tools procured,4.1.5.10 Improved Availability of Operational Logistics and Facilities,percent,85%,88%,90%,93%,95%,98%,grow,Number of working facilities and tools procured/Plan X 100,HR Administration reports,HR Administration reports,Annually,HRMAD,81
kpa4-052,kpa4,so4_1,4.1.6,outcome,Percentage of Workforce Diversity Representation,"4.1.6 Strengthened Inclusion, Youth, Gender Equality and Disability Integration",percent,23%,23%,25%,27%,29%,30%,grow,Number of employees from target groups/Total workforce X100,HR Reports,HR Reports,Annually,HRMAD,81
kpa4-053,kpa4,so4_1,4.1.6,output,Percentage of critical physical facilities compliant with accessibility standards,4.1.6.1 Accessible Infrastructure,percent,35%,40%,45%,50%,60%,70%,grow,Number of critical facilities meeting accessibility standards/Total number of critical facilities assessed × 100,Reports,Reports,Annually,HRMAD,81
kpa4-054,kpa4,so4_1,4.1.6,output,Percentage of staff attending Diversity Equity and inclusion (DEI) awareness training,"4.1.6.2 Comprehensive Diversity, Equity and Inclusion (DEI) Awareness Programs and Governance Frameworks Implemented",percent,35%,40%,50%,55%,60%,70%,grow,Number of staff who attended DEI awareness sessions/Total workforce X100,HR DEI Reports,HR DEI Reports,Annually,HRMAD,81
kpa4-055,kpa4,so4_1,4.1.6,output,Percentage of Planned DEI Governance/guidelines Implemented,"4.1.6.2 Comprehensive Diversity, Equity and Inclusion (DEI) Awareness Programs and Governance Frameworks Implemented",percent,17%,20%,60%,85%,100%,100%,grow,Total implemented DEI divide Planned DEI governance guidelines times 100,Approved DEI guidelines signed off by relevant authority,Approved DEI guidelines signed off by relevant authority,Annually,HRMAD,81
kpa4-056,kpa4,so4_1,4.1.6,output,Balanced gender representation in leadership,4.1.6.3 Inclusive Recruitment and Selection policies improved,percent,18%,20%,29%,30%,31%,32%,grow,Number of women leaders /Total Leaders × 100,"Inclusion, Equity, Gender Equality and Disability reports","Inclusion, Equity, Gender Equality and Disability reports",Annually,HRMAD,81
kpa4-057,kpa4,so4_1,4.1.6,output,Improved representation of persons with disability,4.1.6.3 Inclusive Recruitment and Selection policies improved,number,0.6,0.8,1.2,1.8,2.5,3,grow,Number of employees with disabilities/Total number employees x100,"Inclusion, Equity, Gender Equality and Disability reports","Inclusion, Equity, Gender Equality and Disability reports",Annually,HRMAD,81
kpa4-058,kpa4,so4_2,4.2.1,outcome,Integrity and Ethical Culture Perception Score/Index,4.2.1 Strengthened Organisational Governance and Ethical Culture,percent,53%,56%,60%,64%,70%,75%,grow,Average Ethical Culture Score from Employee Survey,Employee Ethical Culture Perception Survey Report,Employee Ethical Culture Perception Survey Report,Quarterly,INAD,81
kpa4-059,kpa4,so4_2,4.2.1,output,Percentage of TRA employees attended ethics awareness annually as planned,4.2.1.1 Enhanced Ethics and Integrity Training & Awareness Program,percent,88%,90%,92%,94%,96%,98%,grow,Number of employees attended ethics training divide by total number of planned employees×100,Training attendance registers or signed attendance sheets Ethics Training reports,Training attendance registers,Quarterly,INAD,82
kpa4-060,kpa4,so4_2,4.2.1,output,Percentage of key TRA risks included in the annual risk-based internal audit plan,"4.2.1.2 Strengthened Governance, Risk Management, and Internal Control System.",percent,100%,100%,100%,100%,100%,100%,maintain,Number of key TRA risks covered in the audit plan divide by Total number of identified key risk x 100,Annual Audit Plan,Annual Audit Plan,Annually,IAD,82
kpa4-061,kpa4,so4_2,4.2.1,output,Completion Rate of Planned Internal Audits,"4.2.1.2 Strengthened Governance, Risk Management, and Internal Control System.",percent,100%,100%,100%,100%,100%,100%,maintain,Number of financial governance audits included in the approved annual audit plan.,Approved Annual Audit Plan,Approved Annual Audit Plan,Annually,IAD,82
kpa4-062,kpa4,so4_2,4.2.1,output,Number of ERM Committee Meetings conducted,"4.2.1.2 Strengthened Governance, Risk Management, and Internal Control System.",number,2,2,2,2,2,2,maintain,Number of Enterprise Risk Management (ERM) Committee Meetings conducted,Enterprise Risk Management (ERM) Committee Minutes; Enterprise Risk Registers; Enterprise Risk Management (ERM) report,Enterprise Risk Management (ERM) Committee Minutes,Semiannually,RCD,82
kpa4-063,kpa4,so4_2,4.2.1,output,% Percentage of Enterprise Risks Maintained within Approved Risk Tolerance Levels,"4.2.1.2 Strengthened Governance, Risk Management, and Internal Control System.",percent,100%,100%,100%,100%,100%,100%,maintain,Number of Risks that approved within Risk Tolerance in the risk register within the quarter divided by Total number of risks in the risk register times 100,Quarterly Enterprise Risk Management (ERM) Report; Enterprise Risk Registers,Quarterly Enterprise Risk Management (ERM) Report,Quarterly,RCD,82
kpa4-064,kpa4,so4_2,4.2.1,output,Reduction in number of officially reported integrity violations,4.2.1.3 Established Whistle blowing and Investigation Protocol,number,25,24,21,19,17,15,reduce,Number of reported integrity violations,"Allegation register/ integrity management system database, internal or annual integrity reports",Allegation register/ integrity management system database,Annually,INAD,83
kpa4-065,kpa4,so4_2,4.2.1,output,Average time (days) to investigate reported integrity violations,4.2.1.3 Established Whistle blowing and Investigation Protocol,number,90,87,84,80,77,75,reduce,Investigation completion date minus start date,Investigation Case Management System or allegation register records,Investigation Case Management System,Annually,INAD,83
kpa4-066,kpa4,so4_2,4.2.1,output,Percentage of timely implementation of internal investigation recommendations,4.2.1.4 Improved ethical conducts and internal investigations to safeguard integrity and ethical values,percent,90%,92%,95%,97%,99%,100%,grow,No. of investigation recommendations implemented timely over total number of investigation recommendations issued×100,Investigation recommendations implementation records or INAD case management system records,Investigation recommendations implementation records,Annually,INAD,83
kpa4-067,kpa4,so4_2,4.2.1,output,Percentage completion of planned internal investigations on ethical misconducts,4.2.1.4 Improved ethical conducts and internal investigations to safeguard integrity and ethical values,percent,90%,92%,95%,97%,99%,100%,grow,No. of investigations on misconduct completed over total number of investigations planned×100,Investigation reports or INAD case management system records,Investigation reports,Annually,INAD,83
kpa4-068,kpa4,so4_2,4.2.1,output,Percentage of timely completion of planned integrity compliance checks,4.2.1.5 Comprehensive Ethics and Integrity compliance Management Framework Implemented,percent,95%,100%,100%,100%,100%,100%,grow,Total number of integrity compliance checks conducted during the reporting period divide by Planned integrity compliance checks/ year X 100,Integrity compliance reports,Integrity compliance reports,Annually,INAD,83
kpa4-069,kpa4,so4_2,4.2.2,outcome,Prevalence rate of employees sanctioned for involvement in misconducts (Percentage),4.2.2 Reduced corruption incidents and strengthened integrity within the institution,percent,0.3%,0.3%,0.2%,0.2%,0.1%,0.1%,reduce,Number of employees sanctioned for misconducts over total number of employee's times 100,Disciplinary committee records or annual integrity report,Disciplinary committee records,Quarterly,INAD,83
